,Park Name,Street Address,City,State,ZIP,Phone Number,Website,Total Lots,Rent Range,Pet Policy,Amenities,Latitude,Longitude,Source Website URL,Listing Price
0,Arbor Mobile Home Park,19690 North Highway 99,Acampo,CA,95220,N/A,https://www.mhvillage.com/,N/A,N/A,"Pets Allowed: Yes
Pet Restrictions: No Pit Bulls","Spa
Basketball Court
Billiard Room
Library
WiFi",38.19398,-121.19886,https://www.mhvillage.com/parks/2334,N/A
1,Mokelumne Beach RV Park,18450 Calfornia 99,Acampo,CA,95220,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,38.14962,-121.26043,https://www.mhvillage.com/parks/122348,N/A
2,Sycamore Mobile Home Park,24064 North Highway 99,Acampo,CA,95220,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,38.19398,-121.19886,https://www.mhvillage.com/parks/4608,N/A
3,Acton Country Mobile Home Park,2501 Sierra Highway,Acton,CA,93510,N/A,https://www.mhvillage.com/,N/A,705,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,34.46794,-118.1824,https://www.mhvillage.com/parks/40526,N/A
4,Gemstone Mobile Home Park,2451 Soledad Canyon Rd,Acton,CA,93510,N/A,https://www.mhvillage.com/,N/A,N/A,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,34.47893,-118.16895,https://www.mhvillage.com/parks/114970,N/A
5,Stallion Meadows,33105 Santiago Road,Acton,CA,93510,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,34.46794,-118.1824,https://www.mhvillage.com/parks/31206,N/A
6,Acton KOA,7601 Soledad Canyon Rd,Acton,CA,93510,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,34.43789,-118.26587,https://www.mhvillage.com/parks/112718,N/A
7,Cactus Creek,3740 Smith St,Acton,CA,93510,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,34.46999,-118.19674,https://www.mhvillage.com/parks/112836,N/A
8,Adelanto High Desert Homes,17971 Jonathan Street,Adelanto,CA,92301,N/A,https://www.mhvillage.com/,N/A,N/A,"Pets Allowed: Yes
Pet Restrictions: 2 small nonaggresive breeds of dogs, or 2 cats, or a combination totaling 2",WiFi,34.66573,-117.50132,https://www.mhvillage.com/parks/2249,N/A
9,"Capri Mobile Home Park, LLC",11420 Lee Ave,Adelanto,CA,92301,N/A,https://www.mhvillage.com/,N/A,550,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,34.58369,-117.41568,https://www.mhvillage.com/parks/110314,N/A
10,Sierra Sands,18772 Bellflower Rd,Adelanto,CA,92301,N/A,https://www.mhvillage.com/,N/A,500,"Pets Allowed: Yes
Pet Restrictions: Community Approval",WiFi,34.66573,-117.50132,https://www.mhvillage.com/parks/51646,N/A
11,Adelanto Mobile Home Park,11137 Bartlett Avenue,Adelanto,CA,92301,N/A,https://www.mhvillage.com/,N/A,N/A,"Pets Allowed: Yes
Pet Restrictions: 35 Pounds",WiFi,34.66573,-117.50132,https://www.mhvillage.com/parks/4589,N/A
12,Desert Capri Mobile Home Park,11423 Chamberlaine Way,Adelanto,CA,92301,N/A,https://www.mhvillage.com/,N/A,420,N/A,WiFi,34.66573,-117.50132,https://www.mhvillage.com/parks/2589,N/A
13,Adelanto RV Park,11301 Airbase Rd,Adelanto,CA,92301,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,34.57196,-117.41869,https://www.mhvillage.com/parks/120256,N/A
14,Clover MHP,11398 Bartlett Ave,Adelanto,CA,92301,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,34.57937,-117.4166,https://www.mhvillage.com/parks/120698,N/A
15,Butte Creek MH/RV Park,107 Cemetary Rd #12,Adin,CA,96006,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,41.18943,-120.94674,https://www.mhvillage.com/parks/115974,N/A
16,Desert Palm Mobile Home Park,17669 Frontage Rd,Aerial Acres,CA,93523,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,35.00636,-117.82168,https://www.mhvillage.com/parks/112054,N/A
17,Fountain Trailer Park,16450 Frontage Rd,Aerial Acres,CA,93523,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,35.00906,-117.84281,https://www.mhvillage.com/parks/112266,N/A
18,"Seminole Springs Mobilehome Park, Inc",30473 Mulholland Highway,Agoura Hills,CA,91301,N/A,https://www.mhvillage.com/,N/A,N/A,"Pets Allowed: Yes
Pet Restrictions: 3 dogs or cats",WiFi,34.10836,-118.79288,https://www.mhvillage.com/parks/4381,N/A
19,Hacienda Vasques Mh Park,32590 Agua Dulce Canyon Rd,Agua Dulce,CA,91390,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,34.53625,-118.40161,https://www.mhvillage.com/parks/62883,N/A
20,Cowboy Country Campground,50005 Bradford Rd,Aguanga,CA,92536,N/A,https://www.mhvillage.com/,N/A,N/A,N/A,WiFi,33.49494,-116.78331,https://www.mhvillage.com/parks/118500,N/A
