,Park Name,Street Address,City,State,ZIP,Phone Number,Website,Total Lots,Rent Range,Pet Policy,Amenities,Latitude,Longitude,Source Website URL,Listing Price
0,"Sandra Ball . Asso. Broker, Coldwell Banker Mcmillan",8374 County Road 222,Trinity,AL,35673,(256)642-9903,https://www.mobilehomeparkstore.com,N/A,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6957345-sandra-ball-asso-broker-coldwell-banker-mcmillan-for-sale-in-trinity-al,1
1,Royal Palm Estates,1435 County Road 73,Slocomb,AL,36375,(316)655-8405,https://www.mobilehomeparkstore.com,77,459,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6925686-royal-palm-estates-for-sale-in-slocomb-al,
2,Sierra Meadows MHP,296 Sandy Lane,Troy,AL,36081,(423)483-0492,https://www.mobilehomeparkstore.com,50,450,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6894610-sierra-meadows-mhp-for-sale-in-troy-al,650000
3,The Cove Mobile Home Park,8510 Old Sardis Road,Morris,AL,35116,(251)591-9390,https://www.mobilehomeparkstore.com,55,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6878816-the-cove-mobile-home-park-for-sale-in-morris-al,2500000
4,Mobile Home Park and Self-Storage in Birmingham MSA,N/A,Chelsea,AL,N/A,(404)876-1640,https://www.mobilehomeparkstore.com,32,425,N/A,Storage,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6859758-mobile-home-park-and-self-storage-in-birmingham-msa-for-sale-in-chelsea-al,4995000
5,Hidden Acres Mobile Home Park,4915 U.S. 80,Selma,AL,36701,(561)479-1588,https://www.mobilehomeparkstore.com,201,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6838808-hidden-acres-mobile-home-park-for-sale-in-selma-al,2300000
6,Opp Estates MHC,100 Lunsford Circle,Opp,AL,36467,(217)202-0924,https://www.mobilehomeparkstore.com,73,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6835167-opp-estates-mhc-for-sale-in-opp-al,2200000
7,Pecan Hill Mobile Home Park,N/A,Greensboro,AL,36744,(954)937-6150,https://www.mobilehomeparkstore.com,56,300,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6780983-pecan-hill-mobile-home-park-for-sale-in-greensboro-al,649000
8,Forestdale MHC,2926 Una Street,Birmingham,AL,35214,(423)483-0492,https://www.mobilehomeparkstore.com,185,391,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6768429-forestdale-mhc-for-sale-in-birmingham-al,4000000
9,Southeast Portfolio,15928 Dean Drive,Brookwood,AL,35444,(704)831-4643,https://www.mobilehomeparkstore.com,638,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6730618-southeast-portfolio-for-sale-in-brookwood-al,
10,Alabama MHP Fire Sale,N/A,Linden,AL,36748,(727)592-2418,https://www.mobilehomeparkstore.com,26,250,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6838746-alabama-mhp-fire-sale-for-sale-in-linden-al,
11,18 space Mobile  Home Community with 5 Plex included  ,121 West Main Street,Avondale,AZ,85323,(520)850-4000,https://www.mobilehomeparkstore.com,23,700,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6929775-18-space-mobile-home-community-with-5-plex-included-for-sale-in-avondale-az,1750000
12,Phoenix Arizona Mobile Home Park | Sands MHP,3302 East Van Buren Street,Phoenix,AZ,85008,(561)479-1588,https://www.mobilehomeparkstore.com,66,N/A,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6827366-phoenix-arizona-mobile-home-park-sands-mhp-for-sale-in-phoenix-az,5900000
13,"RV Community with stick built, manufactured and community laundry",631 West Hill Street,Superior,AZ,85173,(623)400-8864,https://www.mobilehomeparkstore.com,16,N/A,N/A,Laundromat,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6878815-rv-community-with-stick-built-manufactured-and-community-laundry-for-sale-in-superior-az,650000
14,Nashville MHP Estates,121 South Pine Street,Nashville,AR,71852,(217)202-0924,https://www.mobilehomeparkstore.com,32,250,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6948164-nashville-mhp-estates-for-sale-in-nashville-ar,925000
15,Meadow Wood Community,5041 U.S. 61,Blytheville,AR,72315,(217)202-0924,https://www.mobilehomeparkstore.com,75,0,N/A,N/A,N/A,N/A,https://www.mobilehomeparkstore.com//mobile-home-parks/6929918-meadow-wood-community-for-sale-in-blytheville-ar,475000
